Produção Ambulatorial SUS - Estado de São Paulo - (A partir de Jan/2008)
Qtd.Aprovada por OCI-CARDIO e Mês/ano Competencia
Período:Jan/2020-Ago/2024
"OCI-CARDIO";"Jan/2020";"Fev/2020";"Mar/2020";"Abr/2020";"Mai/2020";"Jun/2020";"Jul/2020";"Ago/2020";"Set/2020";"Out/2020";"Nov/2020";"Dez/2020";"Jan/2021";"Fev/2021";"Mar/2021";"Abr/2021";"Mai/2021";"Jun/2021";"Jul/2021";"Ago/2021";"Set/2021";"Out/2021";"Nov/2021";"Dez/2021";"Jan/2022";"Fev/2022";"Mar/2022";"Abr/2022";"Mai/2022";"Jun/2022";"Jul/2022";"Ago/2022";"Set/2022";"Out/2022";"Nov/2022";"Dez/2022";"Jan/2023";"Fev/2023";"Mar/2023";"Abr/2023";"Mai/2023";"Jun/2023";"Jul/2023";"Ago/2023";"Set/2023";"Out/2023";"Nov/2023";"Dez/2023";"Jan/2024";"Fev/2024";"Mar/2024";"Abr/2024";"Mai/2024";"Jun/2024";"Jul/2024";"Ago/2024";"Total"
"0202010678 DOSAGEM DE TRIGLICERIDEOS";606864;589904;510409;183069;182921;241169;339046;379737;447681;507518;521869;565223;516148;548014;519010;410759;489438;497843;522436;597875;591768;584694;596005;559583;553051;577915;614115;654380;719236;586094;674450;733858;666028;656767;612126;554650;689166;584565;722563;1223755;798530;666995;712461;683931;723594;710642;629491;657870;683352;596594;730161;789568;664005;667035;674119;667439;33387489
"0202010694 DOSAGEM DE UREIA";946217;805277;726264;440533;475812;565304;650940;689010;738869;801245;810395;844177;813785;829031;833619;802758;848561;861858;856067;911706;889471;906522;864157;847752;871765;859252;928344;963405;1000872;862288;972151;1028512;947595;966434;916555;870081;1002197;877647;1045220;1042614;1096909;998828;1033949;1015329;1056756;1162572;988186;1029200;1062963;970313;1087957;1217781;1112454;1079867;1026720;1015665;50869711
"0202010791 DOSAGEM DE PEPTÍDEOS NATRIURÉTICOS TIPO B (BNP E NT-PROBNP)";0;0;0;0;0;96;245;193;206;144;342;405;65;82;207;295;335;178;353;193;167;220;1677;850;844;820;837;770;958;842;990;1102;957;977;1036;995;1117;1063;1209;1092;1183;1243;1366;1415;1184;1293;1077;1131;1240;1251;1469;1534;1640;1596;1941;1986;44411
"0202020380 HEMOGRAMA COMPLETO";1458917;1467989;1331047;778613;788620;916894;1036368;1069913;1154806;1274279;1272626;1303387;1312572;1331675;1359605;1223946;1321513;1316013;1295605;1391216;1378177;1340925;1355761;1332119;1356105;1356420;1504355;1617548;1723238;1439001;1534730;1585222;1470925;1496358;1430746;1371434;1594288;1393732;1763539;1730325;1830934;1591563;1609508;1595742;1632156;1676830;1521551;1481055;1640495;1739876;2214282;2564790;2469487;2050889;1765682;1649579;83214971
"0204030153 RADIOGRAFIA DE TORAX (PA E PERFIL)";165952;177002;190799;114067;123785;139649;157679;152476;142667;149388;162980;147134;157786;151009;163326;145900;163794;160991;155131;164459;157062;160414;168660;193711;187460;146877;169973;189905;222682;221672;197849;193937;202928;201215;195856;179746;163231;184392;225627;221424;255859;266404;242241;240417;223010;214301;189972;185011;181013;195819;243233;298130;318149;327547;300518;305441;10857660
"0205010016 ECOCARDIOGRAFIA DE ESTRESSE";591;683;558;106;143;245;421;470;470;662;645;603;529;486;360;515;611;597;570;527;650;654;557;667;633;749;591;780;685;626;593;782;720;581;607;648;724;672;722;714;684;639;575;653;594;620;585;578;477;604;663;642;555;729;646;743;33134
"0205010032 ECOCARDIOGRAFIA TRANSTORACICA";50572;54418;47929;15721;20490;32774;38525;44730;46832;52464;55004;49418;44969;47551;36776;50983;52499;49112;49466;54514;53377;54596;53397;51069;46259;54218;58100;53667;55587;51042;57295;67895;61680;60355;61372;58691;58809;58800;65623;59855;64458;67403;67721;71941;66226;66210;65067;64320;70882;65217;72164;74647;73812;73608;70224;74963;3145297
"0208010033 CINTILOGRAFIA DE MIOCARDIO P/ AVALIACAO DA PERFUSAO EM SITUACAO DE REPOUSO (MINIMO 3 PROJECOES)";4362;4403;3612;1558;2456;3249;3302;3414;3807;3799;4486;4027;3450;4448;2432;5118;3890;3799;3712;4362;3419;2767;4155;4434;3706;3910;4240;3894;4431;3916;4223;4296;3751;4181;4012;4111;4074;4020;4802;4643;4959;4777;5190;5286;4677;4707;4218;4157;4595;4324;4716;4367;4651;4577;4843;4611;229326
"0211020036 ELETROCARDIOGRAMA";327394;306288;251978;134812;151933;187154;212057;222223;241054;253759;261885;242149;233742;236019;212060;195915;220735;232146;234361;257735;253836;286429;265695;253515;238161;245781;277356;268841;296835;281493;293298;331398;308803;305843;287764;284288;311245;286815;311960;297407;315591;312485;322749;348184;313724;316387;295013;291971;311192;294156;301125;308424;302074;298483;310526;312042;15256288
"0211020044 MONITORAMENTO PELO SISTEMA HOLTER 24 HS (3 CANAIS)";14004;14137;11831;3586;5387;9355;12231;13354;13816;13952;14663;13500;13073;13496;13153;10730;14035;13289;14288;15495;14607;14697;14560;14554;14528;15681;15229;14872;16997;15368;16079;18728;16238;15936;15222;16382;17312;15323;17166;16144;17967;17447;18465;19374;17797;17925;16213;16917;18910;18204;19396;19958;18337;18753;19361;20258;858280
"0211020060 TESTE DE ESFORCO / TESTE ERGOMETRICO";20252;21091;15675;5712;6676;9634;12928;14618;15620;15686;15835;15130;13264;14828;14426;13234;16632;15671;15415;17525;16869;16344;15923;15946;14575;17615;18223;17302;18903;17795;17996;20406;18305;17702;16595;16382;16905;16838;18132;17688;18434;18755;19027;20600;18731;18906;17896;17467;18766;19168;21048;21803;19901;20364;20023;20338;947523
"Total";9780097;9465923;8417664;4309518;4573053;5606579;6901576;7247134;7967557;8730183;8862302;9236150;8871774;9157893;9402936;7937159;8853896;8920176;9023163;9897414;9742233;9634606;9716666;9376435;9411713;9929501;10310875;10881064;11721707;9920382;11024309;11744446;10814986;10861117;10501957;9651743;11346456;10108775;12100824;12487854;12728802;11394107;11838082;11628338;11997348;12081756;10869290;11131300;11797273;10946833;13081753;14385225;13047298;12351660;11845781;11606059;567180701
 Fonte: Sistema de Informações Ambulatoriais SIA-SUS
 
